Species,id,Tag,Dep.date,Recap.date,Mass.recap,d13C,d15N,Day,Month,Year,Hour,Minute,Second,Second.Day,qi,lat,lon,Altitude,Clock.Offset,Accuracy,Battery.Volt,timestamp
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,0,27,25227.9,8,45.099736,-61.542868,-22,9999.999,2.37E-06,4.16,6/18/2019 7:00
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,5,27,25527.93,8,45.099777,-61.542938,-2.25,1.915,4.95E-06,4.16,6/18/2019 7:05
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,10,21,25821.915,6,0,0,0,9999.999,9999.999,4.16,6/18/2019 7:10
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,15,27,26127.975,7,45.09973,-61.542889,-23.5,1.96,2.00E-06,4.16,6/18/2019 7:15
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,20,30,26430.98,8,45.10029,-61.542557,-16,2,1.76E-06,4.14,6/18/2019 7:20
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,25,30,26730.01,8,45.100288,-61.542536,-16.5,2.015,1.99E-06,4.16,6/18/2019 7:25
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,30,26,27026.015,6,45.099891,-61.543394,-7,2.02,1.39E-06,4.14,6/18/2019 7:30
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,35,29,27329.04,8,45.099841,-61.543308,-10.75,2.03,2.10E-06,4.16,6/18/2019 7:35
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,40,29,27629,9,45.099801,-61.543176,-14.75,2.025,3.90E-06,4.14,6/18/2019 7:40
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,45,24,27924.935,6,45.099852,-61.543278,-10.75,1.965,2.05E-06,4.14,6/18/2019 7:45
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,50,27,28227.765,6,45.09871,-61.55797,37.75,1.82,9.93E-07,4.14,6/18/2019 7:50
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,7,55,25,28525.81,6,45.096944,-61.578564,-18,1.715,2.60E-06,4.12,6/18/2019 7:55
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,0,26,28826.785,8,45.100421,-61.607533,-18.75,1.745,5.83E-06,4.14,6/18/2019 8:00
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,5,25,29125.805,6,45.097065,-61.633068,-27.5,1.81,2.31E-06,4.12,6/18/2019 8:05
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,10,29,29429.83,5,45.085243,-61.653796,-31.75,1.85,1.10E-07,4.14,6/18/2019 8:10
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,15,25,29725.84,6,45.084255,-61.680846,-30,1.855,2.89E-06,4.12,6/18/2019 8:15
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,20,28,30028.875,7,45.076537,-61.704409,-15.25,1.86,3.98E-06,4.12,6/18/2019 8:20
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,25,24,30324.92,7,45.05737,-61.706217,-16.75,1.9,5.37E-06,4.14,6/18/2019 8:25
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,30,30,30630.93,5,45.036917,-61.707758,-28,1.945,3.72E-07,4.14,6/18/2019 8:30
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,35,25,30925.945,6,45.023334,-61.706563,-23,1.96,1.17E-06,4.14,6/18/2019 8:35
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,40,25,31225.9,6,45.012079,-61.704953,-19.5,1.93,3.07E-06,4.12,6/18/2019 8:40
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,45,27,31527.87,6,45.001678,-61.685875,-29.5,1.87,1.20E-06,4.14,6/18/2019 8:45
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,50,26,31826.77,5,45.009199,-61.652386,-37.5,1.79,7.09E-07,4.12,6/18/2019 8:50
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,8,55,25,32125.72,5,45.021842,-61.624008,-27.75,1.705,3.40E-07,4.12,6/18/2019 8:55
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,0,24,32424.695,7,45.026199,-61.637653,-22.5,1.665,2.33E-06,4.12,6/18/2019 9:00
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,5,26,32726.715,7,45.026913,-61.652608,-29.5,1.685,6.27E-06,4.12,6/18/2019 9:05
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,10,26,33026.735,7,45.032664,-61.661207,-15.5,1.735,3.59E-06,4.12,6/18/2019 9:10
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,15,26,33326.765,7,45.035989,-61.67117,-12.75,1.775,3.82E-06,4.12,6/18/2019 9:15
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,20,26,33626.805,6,45.037679,-61.671545,-12.75,1.805,1.74E-06,4.12,6/18/2019 9:20
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,25,28,33928.815,7,45.044946,-61.657262,-40,1.825,5.79E-06,4.12,6/18/2019 9:25
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,30,30,34230.905,5,45.051852,-61.659139,-51.75,1.87,2.49E-06,4.12,6/18/2019 9:30
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,35,24,34524.86,6,45.060257,-61.637698,-46.5,1.905,3.34E-06,4.12,6/18/2019 9:35
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,40,30,34830.785,5,45.074328,-61.603021,-49.25,1.84,4.92E-07,4.12,6/18/2019 9:40
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,45,25,35125.76,6,45.085993,-61.567233,-25,1.74,1.40E-06,4.12,6/18/2019 9:45
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,50,29,35429.69,6,45.099236,-61.542948,-21.5,1.675,2.00E-06,4.12,6/18/2019 9:50
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,9,55,27,35727.645,7,45.099139,-61.542874,-25.25,1.635,3.33E-06,4.12,6/18/2019 9:55
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,10,0,27,36027.605,9,45.099222,-61.542926,-16,1.605,4.70E-06,4.12,6/18/2019 10:00
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,10,5,25,36325.645,6,45.096306,-61.524857,-22.5,1.61,1.62E-06,4.1,6/18/2019 10:05
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,10,10,27,36627.64,6,45.102955,-61.50299,-17.75,1.645,2.80E-06,4.1,6/18/2019 10:10
ARTE,AT82555,14670,18/06/2019,22/06/2019,109,-20.1783866,13.17137567,18,6,2019,10,15,24,36924.665,7,45.114136,-61.492845,-52.25,1.67,2.27E-06,4.1,6/18/2019 10:15
